model,family,frame_id,target_word,N,attn_per_target_token,attn_total_to_target_block,n_target_positions
answerdotai/ModernBERT-large,MLM,F0,policy,0,,,0
answerdotai/ModernBERT-large,MLM,F0,policy,1,,,0
answerdotai/ModernBERT-large,MLM,F0,policy,3,0.04584646224975586,0.09169292449951172,2
answerdotai/ModernBERT-large,MLM,F0,policy,5,0.029682934284210205,0.11873173713684082,4
answerdotai/ModernBERT-large,MLM,F0,policy,10,0.020638830131954618,0.18574947118759155,9
answerdotai/ModernBERT-large,MLM,F0,policy,20,0.009813762024829262,0.18646147847175598,19
answerdotai/ModernBERT-large,MLM,F0,policy,30,0.006464300998326005,0.18746472895145416,29
answerdotai/ModernBERT-large,MLM,F0,temple,0,,,0
answerdotai/ModernBERT-large,MLM,F0,temple,1,,,0
answerdotai/ModernBERT-large,MLM,F0,temple,3,0.05037355422973633,0.10074710845947266,2
answerdotai/ModernBERT-large,MLM,F0,temple,5,0.0277712345123291,0.1110849380493164,4
answerdotai/ModernBERT-large,MLM,F0,temple,10,0.013697352674272325,0.12327617406845093,9
answerdotai/ModernBERT-large,MLM,F0,temple,20,0.008972752251123128,0.17048229277133942,19
answerdotai/ModernBERT-large,MLM,F0,temple,30,0.005222311821477166,0.15144704282283783,29
answerdotai/ModernBERT-large,MLM,F0,tiger,0,,,0
answerdotai/ModernBERT-large,MLM,F0,tiger,1,,,0
answerdotai/ModernBERT-large,MLM,F0,tiger,3,0.04118752479553223,0.08237504959106445,2
answerdotai/ModernBERT-large,MLM,F0,tiger,5,0.030770480632781982,0.12308192253112793,4
answerdotai/ModernBERT-large,MLM,F0,tiger,10,0.015793237421247695,0.14213913679122925,9
answerdotai/ModernBERT-large,MLM,F0,tiger,20,0.007963931089953372,0.15131469070911407,19
answerdotai/ModernBERT-large,MLM,F0,tiger,30,0.005389362059790513,0.15629149973392487,29
answerdotai/ModernBERT-large,MLM,F0,work,0,,,0
answerdotai/ModernBERT-large,MLM,F0,work,1,,,0
answerdotai/ModernBERT-large,MLM,F0,work,3,0.042420148849487305,0.08484029769897461,2
answerdotai/ModernBERT-large,MLM,F0,work,5,0.025382578372955322,0.10153031349182129,4
answerdotai/ModernBERT-large,MLM,F0,work,10,0.02544466157754262,0.2290019541978836,9
answerdotai/ModernBERT-large,MLM,F0,work,20,0.010433429950161985,0.1982351690530777,19
answerdotai/ModernBERT-large,MLM,F0,work,30,0.0063045795621543095,0.18283280730247498,29
answerdotai/ModernBERT-large,MLM,F0,home,0,,,0
answerdotai/ModernBERT-large,MLM,F0,home,1,,,0
answerdotai/ModernBERT-large,MLM,F0,home,3,0.025780439376831055,0.05156087875366211,2
answerdotai/ModernBERT-large,MLM,F0,home,5,0.010471820831298828,0.04188728332519531,4
answerdotai/ModernBERT-large,MLM,F0,home,10,0.00397872593667772,0.03580853343009949,9
answerdotai/ModernBERT-large,MLM,F0,home,20,0.001906483189055794,0.03622318059206009,19
answerdotai/ModernBERT-large,MLM,F0,home,30,0.0015407922709810323,0.044682975858449936,29
answerdotai/ModernBERT-large,MLM,F0,culture,0,,,0
answerdotai/ModernBERT-large,MLM,F0,culture,1,,,0
answerdotai/ModernBERT-large,MLM,F0,culture,3,0.04635953903198242,0.09271907806396484,2
answerdotai/ModernBERT-large,MLM,F0,culture,5,0.027531087398529053,0.11012434959411621,4
answerdotai/ModernBERT-large,MLM,F0,culture,10,0.015030549632178413,0.1352749466896057,9
answerdotai/ModernBERT-large,MLM,F0,culture,20,0.0077775010937138605,0.14777252078056335,19
answerdotai/ModernBERT-large,MLM,F0,culture,30,0.004714334833210912,0.13671571016311646,29
answerdotai/ModernBERT-large,MLM,F0,envy,0,,,0
answerdotai/ModernBERT-large,MLM,F0,envy,1,,,0
answerdotai/ModernBERT-large,MLM,F0,envy,3,0.05870771408081055,0.1174154281616211,2
answerdotai/ModernBERT-large,MLM,F0,envy,5,0.0319826602935791,0.1279306411743164,4
answerdotai/ModernBERT-large,MLM,F0,envy,10,0.017893347475263808,0.16104012727737427,9
answerdotai/ModernBERT-large,MLM,F0,envy,20,0.009725634988985564,0.1847870647907257,19
answerdotai/ModernBERT-large,MLM,F0,envy,30,0.005903747575036411,0.1712086796760559,29
answerdotai/ModernBERT-large,MLM,F0,anchor,0,,,0
answerdotai/ModernBERT-large,MLM,F0,anchor,1,,,0
answerdotai/ModernBERT-large,MLM,F0,anchor,3,0.044725894927978516,0.08945178985595703,2
answerdotai/ModernBERT-large,MLM,F0,anchor,5,0.027596354484558105,0.11038541793823242,4
answerdotai/ModernBERT-large,MLM,F0,anchor,10,0.01390532652537028,0.12514793872833252,9
answerdotai/ModernBERT-large,MLM,F0,anchor,20,0.006748539836783158,0.12822225689888,19
answerdotai/ModernBERT-large,MLM,F0,anchor,30,0.004534142798390882,0.13149014115333557,29
answerdotai/ModernBERT-large,MLM,F0,moon,0,,,0
answerdotai/ModernBERT-large,MLM,F0,moon,1,,,0
answerdotai/ModernBERT-large,MLM,F0,moon,3,0.045877814292907715,0.09175562858581543,2
answerdotai/ModernBERT-large,MLM,F0,moon,5,0.02833494544029236,0.11333978176116943,4
answerdotai/ModernBERT-large,MLM,F0,moon,10,0.015342013703452216,0.13807812333106995,9
answerdotai/ModernBERT-large,MLM,F0,moon,20,0.007848534929124932,0.14912216365337372,19
answerdotai/ModernBERT-large,MLM,F0,moon,30,0.004625037826340774,0.13412609696388245,29
answerdotai/ModernBERT-large,MLM,F0,life,0,,,0
answerdotai/ModernBERT-large,MLM,F0,life,1,,,0
answerdotai/ModernBERT-large,MLM,F0,life,3,0.04162287712097168,0.08324575424194336,2
answerdotai/ModernBERT-large,MLM,F0,life,5,0.022158801555633545,0.08863520622253418,4
answerdotai/ModernBERT-large,MLM,F0,life,10,0.024965342548158433,0.2246880829334259,9
answerdotai/ModernBERT-large,MLM,F0,life,20,0.011330999826130114,0.21528899669647217,19
answerdotai/ModernBERT-large,MLM,F0,life,30,0.004547212144424175,0.1318691521883011,29
