model,family,frame_id,target_word,N,target_prob,cos_mask_to_target_embed
answerdotai/ModernBERT-large,MLM,F0,earth,0,0.0002492416824679822,0.019751308485865593
answerdotai/ModernBERT-large,MLM,F0,earth,1,0.3884449601173401,0.05284196138381958
answerdotai/ModernBERT-large,MLM,F0,earth,3,0.331631600856781,0.0518573634326458
answerdotai/ModernBERT-large,MLM,F0,earth,5,0.3776687681674957,0.055515460669994354
answerdotai/ModernBERT-large,MLM,F0,earth,10,0.2986976206302643,0.05240505188703537
answerdotai/ModernBERT-large,MLM,F0,earth,20,0.17572565376758575,0.046856317669153214
answerdotai/ModernBERT-large,MLM,F0,earth,30,0.20486944913864136,0.05031639337539673
answerdotai/ModernBERT-large,MLM,F0,conscience,0,0.0002737384638749063,-0.045615632086992264
answerdotai/ModernBERT-large,MLM,F0,conscience,1,0.6442398428916931,0.021683748811483383
answerdotai/ModernBERT-large,MLM,F0,conscience,3,0.4566784203052521,0.009822388179600239
answerdotai/ModernBERT-large,MLM,F0,conscience,5,0.49703237414360046,0.0122974943369627
answerdotai/ModernBERT-large,MLM,F0,conscience,10,0.4994319677352905,0.012334629893302917
answerdotai/ModernBERT-large,MLM,F0,conscience,20,0.3977716565132141,0.006914004683494568
answerdotai/ModernBERT-large,MLM,F0,conscience,30,0.4158102869987488,0.00527472048997879
answerdotai/ModernBERT-large,MLM,F0,virtue,0,0.00012930489901918918,-0.01994292624294758
answerdotai/ModernBERT-large,MLM,F0,virtue,1,0.8803186416625977,0.03625404089689255
answerdotai/ModernBERT-large,MLM,F0,virtue,3,0.6191745400428772,0.03341519087553024
answerdotai/ModernBERT-large,MLM,F0,virtue,5,0.5978740453720093,0.035186197608709335
answerdotai/ModernBERT-large,MLM,F0,virtue,10,0.6849703192710876,0.03809560462832451
answerdotai/ModernBERT-large,MLM,F0,virtue,20,0.5448300838470459,0.03477497398853302
answerdotai/ModernBERT-large,MLM,F0,virtue,30,0.38348132371902466,0.031534306704998016
answerdotai/ModernBERT-large,MLM,F0,culture,0,0.0006364610162563622,-0.00424550985917449
answerdotai/ModernBERT-large,MLM,F0,culture,1,0.6262996792793274,0.054085616022348404
answerdotai/ModernBERT-large,MLM,F0,culture,3,0.19031573832035065,0.03440913185477257
answerdotai/ModernBERT-large,MLM,F0,culture,5,0.16630049049854279,0.02985547110438347
answerdotai/ModernBERT-large,MLM,F0,culture,10,0.1932663470506668,0.03397341072559357
answerdotai/ModernBERT-large,MLM,F0,culture,20,0.2459135204553604,0.03992217034101486
answerdotai/ModernBERT-large,MLM,F0,culture,30,0.28590989112854004,0.04314309358596802
answerdotai/ModernBERT-large,MLM,F0,eagle,0,1.6439273167634383e-05,0.00455805379897356
answerdotai/ModernBERT-large,MLM,F0,eagle,1,0.3250660300254822,0.059968575835227966
answerdotai/ModernBERT-large,MLM,F0,eagle,3,0.16897068917751312,0.052506327629089355
answerdotai/ModernBERT-large,MLM,F0,eagle,5,0.13636578619480133,0.0520736388862133
answerdotai/ModernBERT-large,MLM,F0,eagle,10,0.22276021540164948,0.056044746190309525
answerdotai/ModernBERT-large,MLM,F0,eagle,20,0.18535470962524414,0.05913568288087845
answerdotai/ModernBERT-large,MLM,F0,eagle,30,0.2988293468952179,0.07270456850528717
answerdotai/ModernBERT-large,MLM,F0,regime,0,1.4507606465485878e-05,-0.031511224806308746
answerdotai/ModernBERT-large,MLM,F0,regime,1,0.12136265635490417,0.0036460915580391884
answerdotai/ModernBERT-large,MLM,F0,regime,3,0.033294159919023514,-0.002724556252360344
answerdotai/ModernBERT-large,MLM,F0,regime,5,0.04109092056751251,-0.0012524807825684547
answerdotai/ModernBERT-large,MLM,F0,regime,10,0.0820045918226242,0.00798194482922554
answerdotai/ModernBERT-large,MLM,F0,regime,20,0.370076984167099,0.035055968910455704
answerdotai/ModernBERT-large,MLM,F0,regime,30,0.4563520550727844,0.05378741770982742
answerdotai/ModernBERT-large,MLM,F0,stone,0,7.842737977625802e-05,0.005384190008044243
answerdotai/ModernBERT-large,MLM,F0,stone,1,0.2873094975948334,0.05318889766931534
answerdotai/ModernBERT-large,MLM,F0,stone,3,0.2441602498292923,0.04606584087014198
answerdotai/ModernBERT-large,MLM,F0,stone,5,0.1728336662054062,0.042723365128040314
answerdotai/ModernBERT-large,MLM,F0,stone,10,0.14212526381015778,0.04754271358251572
answerdotai/ModernBERT-large,MLM,F0,stone,20,0.08006838709115982,0.04838965833187103
answerdotai/ModernBERT-large,MLM,F0,stone,30,0.14391198754310608,0.055375248193740845
answerdotai/ModernBERT-large,MLM,F0,guilt,0,0.0005443939589895308,-0.04653957113623619
answerdotai/ModernBERT-large,MLM,F0,guilt,1,0.9643304347991943,0.035437412559986115
answerdotai/ModernBERT-large,MLM,F0,guilt,3,0.6273117065429688,-0.0011692643165588379
answerdotai/ModernBERT-large,MLM,F0,guilt,5,0.4419945180416107,-0.007096774876117706
answerdotai/ModernBERT-large,MLM,F0,guilt,10,0.41952013969421387,-0.0076867565512657166
answerdotai/ModernBERT-large,MLM,F0,guilt,20,0.3568107485771179,-0.0070273298770189285
answerdotai/ModernBERT-large,MLM,F0,guilt,30,0.4354899525642395,-0.0031431950628757477
answerdotai/ModernBERT-large,MLM,F0,nature,0,0.00036264455411583185,0.01353132352232933
answerdotai/ModernBERT-large,MLM,F0,nature,1,0.471445232629776,0.049420129507780075
answerdotai/ModernBERT-large,MLM,F0,nature,3,0.20881207287311554,0.039839886128902435
answerdotai/ModernBERT-large,MLM,F0,nature,5,0.21954718232154846,0.03560230880975723
answerdotai/ModernBERT-large,MLM,F0,nature,10,0.22160924971103668,0.03473552316427231
answerdotai/ModernBERT-large,MLM,F0,nature,20,0.21035662293434143,0.034289613366127014
answerdotai/ModernBERT-large,MLM,F0,nature,30,0.20831002295017242,0.03238940238952637
answerdotai/ModernBERT-large,MLM,F0,meat,0,0.0002066286251647398,0.02511490508913994
answerdotai/ModernBERT-large,MLM,F0,meat,1,0.38335689902305603,0.08423799276351929
answerdotai/ModernBERT-large,MLM,F0,meat,3,0.19623033702373505,0.06267231702804565
answerdotai/ModernBERT-large,MLM,F0,meat,5,0.1871611624956131,0.06547370553016663
answerdotai/ModernBERT-large,MLM,F0,meat,10,0.2191958874464035,0.07220666110515594
answerdotai/ModernBERT-large,MLM,F0,meat,20,0.24319997429847717,0.07742075622081757
answerdotai/ModernBERT-large,MLM,F0,meat,30,0.40787315368652344,0.0848844051361084
answerdotai/ModernBERT-large,MLM,F0,notion,0,1.2802917808585335e-05,0.00586134847253561
answerdotai/ModernBERT-large,MLM,F0,notion,1,0.04444757103919983,0.08168934285640717
answerdotai/ModernBERT-large,MLM,F0,notion,3,0.12372682988643646,0.08807674795389175
answerdotai/ModernBERT-large,MLM,F0,notion,5,0.04866404831409454,0.07008592039346695
answerdotai/ModernBERT-large,MLM,F0,notion,10,0.03841955587267876,0.06297049671411514
answerdotai/ModernBERT-large,MLM,F0,notion,20,0.06778372824192047,0.06987679749727249
answerdotai/ModernBERT-large,MLM,F0,notion,30,0.07655088603496552,0.07378734648227692
answerdotai/ModernBERT-large,MLM,F0,voice,0,0.0002131877263309434,0.02402980625629425
answerdotai/ModernBERT-large,MLM,F0,voice,1,0.5910778045654297,0.09159605205059052
answerdotai/ModernBERT-large,MLM,F0,voice,3,0.5062019228935242,0.08491075038909912
answerdotai/ModernBERT-large,MLM,F0,voice,5,0.39295756816864014,0.08416680991649628
answerdotai/ModernBERT-large,MLM,F0,voice,10,0.2648085951805115,0.08102105557918549
answerdotai/ModernBERT-large,MLM,F0,voice,20,0.07276509702205658,0.07112830877304077
answerdotai/ModernBERT-large,MLM,F0,voice,30,0.07987655699253082,0.07384870946407318
answerdotai/ModernBERT-large,MLM,F0,elbow,0,6.437711363105336e-06,-0.02685835398733616
answerdotai/ModernBERT-large,MLM,F0,elbow,1,0.28095731139183044,0.046995047479867935
answerdotai/ModernBERT-large,MLM,F0,elbow,3,0.23246914148330688,0.03170314431190491
answerdotai/ModernBERT-large,MLM,F0,elbow,5,0.35824763774871826,0.037732549011707306
answerdotai/ModernBERT-large,MLM,F0,elbow,10,0.42746153473854065,0.03966217860579491
answerdotai/ModernBERT-large,MLM,F0,elbow,20,0.31170007586479187,0.04316728189587593
answerdotai/ModernBERT-large,MLM,F0,elbow,30,0.4536038339138031,0.05786769464612007
answerdotai/ModernBERT-large,MLM,F0,problem,0,0.000234140912652947,0.026046479120850563
answerdotai/ModernBERT-large,MLM,F0,problem,1,0.0424342043697834,0.05909920111298561
answerdotai/ModernBERT-large,MLM,F0,problem,3,0.01558822114020586,0.051726266741752625
answerdotai/ModernBERT-large,MLM,F0,problem,5,0.017823269590735435,0.05307961255311966
answerdotai/ModernBERT-large,MLM,F0,problem,10,0.04208808019757271,0.062019504606723785
answerdotai/ModernBERT-large,MLM,F0,problem,20,0.07252899557352066,0.06919463723897934
answerdotai/ModernBERT-large,MLM,F0,problem,30,0.044364575296640396,0.06869527697563171
answerdotai/ModernBERT-large,MLM,F0,harbor,0,9.221596883435268e-06,-0.017509549856185913
answerdotai/ModernBERT-large,MLM,F0,harbor,1,0.029071571305394173,0.02623612806200981
answerdotai/ModernBERT-large,MLM,F0,harbor,3,0.09672505408525467,0.029528390616178513
answerdotai/ModernBERT-large,MLM,F0,harbor,5,0.07663039863109589,0.02989346534013748
answerdotai/ModernBERT-large,MLM,F0,harbor,10,0.021079009398818016,0.037810035049915314
answerdotai/ModernBERT-large,MLM,F0,harbor,20,0.0075490460731089115,0.025570327416062355
answerdotai/ModernBERT-large,MLM,F0,harbor,30,0.0007042521610856056,0.0004175836220383644
answerdotai/ModernBERT-large,MLM,F0,girl,0,0.0003006428887601942,0.03802122175693512
answerdotai/ModernBERT-large,MLM,F0,girl,1,0.4800454378128052,0.0759376659989357
answerdotai/ModernBERT-large,MLM,F0,girl,3,0.3582642376422882,0.08163035660982132
answerdotai/ModernBERT-large,MLM,F0,girl,5,0.4064173996448517,0.08560176938772202
answerdotai/ModernBERT-large,MLM,F0,girl,10,0.5167401432991028,0.08530182391405106
answerdotai/ModernBERT-large,MLM,F0,girl,20,0.3197999894618988,0.08102312684059143
answerdotai/ModernBERT-large,MLM,F0,girl,30,0.2337595373392105,0.07707547396421432
answerdotai/ModernBERT-large,MLM,F0,story,0,0.0004656448436435312,0.010539851151406765
answerdotai/ModernBERT-large,MLM,F0,story,1,0.3951185345649719,0.0500933863222599
answerdotai/ModernBERT-large,MLM,F0,story,3,0.28551986813545227,0.050912730395793915
answerdotai/ModernBERT-large,MLM,F0,story,5,0.38711997866630554,0.06122900918126106
answerdotai/ModernBERT-large,MLM,F0,story,10,0.4271114766597748,0.059603501111269
answerdotai/ModernBERT-large,MLM,F0,story,20,0.3178320825099945,0.054732922464609146
answerdotai/ModernBERT-large,MLM,F0,story,30,0.4402688443660736,0.06128368899226189
answerdotai/ModernBERT-large,MLM,F0,arm,0,4.673277544497978e-06,-0.014621173962950706
answerdotai/ModernBERT-large,MLM,F0,arm,1,0.01902381330728531,0.04423612356185913
answerdotai/ModernBERT-large,MLM,F0,arm,3,0.07778969407081604,0.048101842403411865
answerdotai/ModernBERT-large,MLM,F0,arm,5,0.026018992066383362,0.044875115156173706
answerdotai/ModernBERT-large,MLM,F0,arm,10,0.003979647532105446,0.03485744446516037
answerdotai/ModernBERT-large,MLM,F0,arm,20,0.0007406393415294588,0.026470577344298363
answerdotai/ModernBERT-large,MLM,F0,arm,30,0.003242278704419732,0.03832263499498367
answerdotai/ModernBERT-large,MLM,F0,chair,0,2.9767677915515378e-05,-0.01885407790541649
answerdotai/ModernBERT-large,MLM,F0,chair,1,0.262918621301651,0.03997696936130524
answerdotai/ModernBERT-large,MLM,F0,chair,3,0.22570577263832092,0.02866949513554573
answerdotai/ModernBERT-large,MLM,F0,chair,5,0.24592415988445282,0.03202523663640022
answerdotai/ModernBERT-large,MLM,F0,chair,10,0.3002118468284607,0.038123007863759995
answerdotai/ModernBERT-large,MLM,F0,chair,20,0.20174874365329742,0.035464808344841
answerdotai/ModernBERT-large,MLM,F0,chair,30,0.23407989740371704,0.03810415416955948
answerdotai/ModernBERT-large,MLM,F0,ladder,0,1.2802917808585335e-05,-0.010571690276265144
answerdotai/ModernBERT-large,MLM,F0,ladder,1,0.21494583785533905,0.05566401779651642
answerdotai/ModernBERT-large,MLM,F0,ladder,3,0.08344457298517227,0.049296170473098755
answerdotai/ModernBERT-large,MLM,F0,ladder,5,0.09765058010816574,0.049649741500616074
answerdotai/ModernBERT-large,MLM,F0,ladder,10,0.09413350373506546,0.04843893647193909
answerdotai/ModernBERT-large,MLM,F0,ladder,20,0.11618346720933914,0.048600148409605026
answerdotai/ModernBERT-large,MLM,F0,ladder,30,0.19250427186489105,0.05734867602586746
answerdotai/ModernBERT-large,MLM,F0,policy,0,0.00012532660912256688,0.013715730048716068
answerdotai/ModernBERT-large,MLM,F0,policy,1,0.33873263001441956,0.04306831210851669
answerdotai/ModernBERT-large,MLM,F0,policy,3,0.206583634018898,0.03067629784345627
answerdotai/ModernBERT-large,MLM,F0,policy,5,0.21858999133110046,0.028437476605176926
answerdotai/ModernBERT-large,MLM,F0,policy,10,0.1840878129005432,0.02750692330300808
answerdotai/ModernBERT-large,MLM,F0,policy,20,0.10474994033575058,0.02848329022526741
answerdotai/ModernBERT-large,MLM,F0,policy,30,0.06251916289329529,0.025978466495871544
answerdotai/ModernBERT-large,MLM,F0,bag,0,2.177849819418043e-05,-0.0014952560886740685
answerdotai/ModernBERT-large,MLM,F0,bag,1,0.18558397889137268,0.05586065724492073
answerdotai/ModernBERT-large,MLM,F0,bag,3,0.20740139484405518,0.04784535989165306
answerdotai/ModernBERT-large,MLM,F0,bag,5,0.15673011541366577,0.0447678416967392
answerdotai/ModernBERT-large,MLM,F0,bag,10,0.12586620450019836,0.04167609661817551
answerdotai/ModernBERT-large,MLM,F0,bag,20,0.1426396667957306,0.04881761968135834
answerdotai/ModernBERT-large,MLM,F0,bag,30,0.18525943160057068,0.058521710336208344
answerdotai/ModernBERT-large,MLM,F0,rabbit,0,1.8055006876238622e-05,0.01788271777331829
answerdotai/ModernBERT-large,MLM,F0,rabbit,1,0.166291743516922,0.08635803312063217
answerdotai/ModernBERT-large,MLM,F0,rabbit,3,0.2851470708847046,0.0859355628490448
answerdotai/ModernBERT-large,MLM,F0,rabbit,5,0.2818870544433594,0.08980074524879456
answerdotai/ModernBERT-large,MLM,F0,rabbit,10,0.28808432817459106,0.0934583842754364
answerdotai/ModernBERT-large,MLM,F0,rabbit,20,0.1776966154575348,0.093228280544281
answerdotai/ModernBERT-large,MLM,F0,rabbit,30,0.1406688690185547,0.09620881080627441
