word,category,concreteness_group,frequency_group,semantic_class,word_length,zipf_frequency,notes,token_id,encoded_form
bread,concrete_high,concrete,mid,food,5,4.5,,16385, bread
water,concrete_high,concrete,very_high,food,5,5.52,,3090, water
milk,concrete_high,concrete,mid,food,4,4.66,,14403, milk
rice,concrete_high,concrete,mid,food,4,4.55,,20228, rice
meat,concrete_high,concrete,mid,food,4,4.63,,13339, meat
egg,concrete_high,concrete,mid,food,3,4.46,,19151, egg
salt,concrete_high,concrete,mid,food,4,4.6,,12290, salt
sugar,concrete_high,concrete,mid,food,5,4.68,,13465, sugar
cheese,concrete_high,concrete,mid,food,6,4.57,,17604, cheese
tea,concrete_high,concrete,mid,food,3,4.73,,15600, tea
coffee,concrete_high,concrete,high,food,6,4.86,,11033, coffee
soup,concrete_high,concrete,mid,food,4,4.15,,19724, soup
apple,concrete_high,concrete,mid,food,5,4.76,,24149, apple
fruit,concrete_high,concrete,mid,food,5,4.57,,14098, fruit
food,concrete_high,concrete,high,food,4,5.4,,3691, food
dog,concrete_high,concrete,high,animal,3,5.1,,5679, dog
cat,concrete_high,concrete,mid,animal,3,4.78,,8415, cat
horse,concrete_high,concrete,mid,animal,5,4.76,,15580, horse
bird,concrete_high,concrete,mid,animal,4,4.63,,12224, bird
fish,concrete_high,concrete,high,animal,4,4.9,,7795, fish
sheep,concrete_high,concrete,mid,animal,5,4.19,,33012, sheep
pig,concrete_high,concrete,mid,animal,3,4.14,,24623, pig
cow,concrete_high,concrete,mid,animal,3,4.14,,19923, cow
house,concrete_high,concrete,very_high,object,5,5.71,,3838, house
car,concrete_high,concrete,high,object,3,5.45,,1841, car
door,concrete_high,concrete,high,object,4,5.08,,6134, door
table,concrete_high,concrete,high,object,5,5.05,,2007, table
chair,concrete_high,concrete,mid,object,5,4.69,,10716, chair
bed,concrete_high,concrete,high,object,3,5.07,,4950, bed
book,concrete_high,concrete,high,object,4,5.43,,2363, book
paper,concrete_high,concrete,high,object,5,5.07,,5684, paper
phone,concrete_high,concrete,high,object,5,5.3,,4641, phone
window,concrete_high,concrete,high,object,6,4.8,,3321, window
box,concrete_high,concrete,high,object,3,5.04,,3830, box
bag,concrete_high,concrete,mid,object,3,4.79,,9145, bag
cup,concrete_high,concrete,high,object,3,5.11,,10747, cup
knife,concrete_high,concrete,mid,tool,5,4.41,,22145, knife
hammer,concrete_high,concrete,mid,tool,6,4.16,,24354, hammer
key,concrete_high,concrete,high,object,3,5.12,,1401, key
room,concrete_high,concrete,high,place,4,5.39,,3130, room
city,concrete_high,concrete,very_high,place,4,5.61,,3363, city
school,concrete_high,concrete,very_high,place,6,5.71,,2978, school
park,concrete_high,concrete,high,place,4,5.16,,6246, park
garden,concrete_high,concrete,mid,place,6,4.77,,13863, garden
office,concrete_high,concrete,high,place,6,5.4,,5274, office
street,concrete_high,concrete,high,place,6,5.28,,8761, street
road,concrete_high,concrete,high,place,4,5.24,,5754, road
hand,concrete_high,concrete,high,body,4,5.41,,1450, hand
eye,concrete_high,concrete,high,body,3,5.02,,8071, eye
face,concrete_high,concrete,high,body,4,5.45,,3663, face
foot,concrete_high,concrete,high,body,4,4.87,,4579, foot
arm,concrete_high,concrete,mid,body,3,4.73,,6916, arm
leg,concrete_high,concrete,mid,body,3,4.66,,2531, leg
head,concrete_high,concrete,very_high,body,4,5.51,,2010, head
heart,concrete_high,concrete,high,body,5,5.31,,4851, heart
hair,concrete_high,concrete,high,body,4,5.08,,7013, hair
mouth,concrete_high,concrete,high,body,5,4.83,,11013, mouth
tree,concrete_high,concrete,high,natural_object,4,4.85,,5021, tree
stone,concrete_high,concrete,high,natural_object,5,4.8,,9998, stone
rock,concrete_high,concrete,high,natural_object,4,5.03,,7091, rock
river,concrete_high,concrete,high,natural_object,5,5.03,,15140, river
sky,concrete_high,concrete,mid,natural_object,3,4.72,,13180, sky
sun,concrete_high,concrete,high,natural_object,3,4.97,,7160, sun
moon,concrete_high,concrete,mid,natural_object,4,4.7,,18266, moon
cloud,concrete_high,concrete,mid,natural_object,5,4.46,,9624, cloud
fire,concrete_high,concrete,high,natural_object,4,5.3,,4027, fire
wood,concrete_high,concrete,mid,natural_object,4,4.78,,7732, wood
earth,concrete_high,concrete,high,natural_object,5,5.06,,9578, earth
pen,concrete_high,concrete,mid,tool,3,4.38,,5869, pen
clock,concrete_high,concrete,mid,tool,5,4.43,,9042, clock
watch,concrete_high,concrete,high,tool,5,5.34,,3821, watch
camera,concrete_high,concrete,high,tool,6,4.87,,6382, camera
brush,concrete_high,concrete,mid,tool,5,4.23,,15998, brush
ladder,concrete_high,concrete,mid,tool,6,4.03,,36865, ladder
man,concrete_high,concrete,very_high,object,3,5.82,,893, man
woman,concrete_high,concrete,high,object,5,5.35,,5333, woman
child,concrete_high,concrete,high,object,5,5.3,,1716, child
boy,concrete_high,concrete,high,object,3,5.17,,8334, boy
girl,concrete_high,concrete,high,object,4,5.38,,3828, girl
baby,concrete_high,concrete,high,object,4,5.26,,8945, baby
violin,concrete_low,concrete,low,tool,6,3.74,,63137, violin
lantern,concrete_low,concrete,low,object,7,3.61,,74265, lantern
helmet,concrete_low,concrete,mid,object,6,4.02,,32635, helmet
pearl,concrete_low,concrete,mid,object,5,4.14,,70723, pearl
anchor,concrete_low,concrete,mid,object,6,4.02,,17543, anchor
shovel,concrete_low,concrete,low,tool,6,3.5,,93091, shovel
kettle,concrete_low,concrete,low,tool,6,3.54,,73418, kettle
compass,concrete_low,concrete,low,tool,7,3.74,,24653, compass
telescope,concrete_low,concrete,low,tool,9,3.75,,56925, telescope
microscope,concrete_low,concrete,low,tool,10,3.5,,73757, microscope
ribbon,concrete_low,concrete,low,object,6,3.81,,45667, ribbon
button,concrete_low,concrete,mid,object,6,4.56,,3215, button
piano,concrete_low,concrete,mid,tool,5,4.31,,27374, piano
eagle,concrete_low,concrete,mid,animal,5,4.13,,60989, eagle
tiger,concrete_low,concrete,mid,animal,5,4.3,,52835, tiger
camel,concrete_low,concrete,low,animal,5,3.64,,50252, camel
snake,concrete_low,concrete,mid,animal,5,4.23,,26332, snake
rabbit,concrete_low,concrete,mid,animal,6,4.05,,39824, rabbit
turtle,concrete_low,concrete,low,animal,6,3.91,,37189, turtle
fox,concrete_low,concrete,mid,animal,3,4.66,,39935, fox
deer,concrete_low,concrete,mid,animal,4,4.12,,39149, deer
frog,concrete_low,concrete,low,animal,4,3.89,,60981, frog
bee,concrete_low,concrete,mid,animal,3,4.09,,38328, bee
ant,concrete_low,concrete,low,animal,3,3.86,,3276, ant
owl,concrete_low,concrete,low,animal,3,3.87,,53369, owl
crow,concrete_low,concrete,low,animal,4,3.8,,9460, crow
whale,concrete_low,concrete,low,animal,5,3.98,,51119, whale
spoon,concrete_low,concrete,low,tool,5,3.88,,46605, spoon
fork,concrete_low,concrete,mid,tool,4,4.03,,23243, fork
plate,concrete_low,concrete,mid,object,5,4.55,,12235, plate
bowl,concrete_low,concrete,mid,object,4,4.63,,19763, bowl
vase,concrete_low,concrete,low,object,4,3.54,,93484, vase
mirror,concrete_low,concrete,mid,object,6,4.47,,18327, mirror
rope,concrete_low,concrete,mid,tool,4,4.06,,34520, rope
blanket,concrete_low,concrete,mid,object,7,4.07,,39139, blanket
pillow,concrete_low,concrete,low,object,6,3.96,,43425, pillow
carpet,concrete_low,concrete,mid,object,6,4.18,,28954, carpet
drum,concrete_low,concrete,mid,tool,4,4.11,,24074, drum
ankle,concrete_low,concrete,low,body,5,3.97,,39448, ankle
elbow,concrete_low,concrete,low,body,5,3.84,,46811, elbow
knee,concrete_low,concrete,mid,body,4,4.33,,22095, knee
wrist,concrete_low,concrete,mid,body,5,4.01,,33271, wrist
liver,concrete_low,concrete,mid,body,5,4.18,,26587, liver
kidney,concrete_low,concrete,mid,body,6,4.03,,39042, kidney
spine,concrete_low,concrete,low,body,5,3.93,,35776, spine
temple,concrete_low,concrete,mid,place,6,4.45,,27850, temple
castle,concrete_low,concrete,mid,place,6,4.45,,33684, castle
cottage,concrete_low,concrete,mid,place,7,4.0,,46722, cottage
desert,concrete_low,concrete,mid,place,6,4.4,,24521, desert
forest,concrete_low,concrete,mid,place,6,4.7,,13952, forest
harbor,concrete_low,concrete,mid,place,6,4.15,,57511, harbor
village,concrete_low,concrete,high,place,7,4.82,,14458, village
valley,concrete_low,concrete,mid,place,6,4.72,,34681, valley
canyon,concrete_low,concrete,low,place,6,3.96,,84300, canyon
comet,concrete_low,concrete,low,natural_object,5,3.64,,71086, comet
crystal,concrete_low,concrete,mid,natural_object,7,4.4,,26110, crystal
glacier,concrete_low,concrete,low,natural_object,7,3.58,,94867, glacier
planet,concrete_low,concrete,mid,natural_object,6,4.68,,11841, planet
crater,concrete_low,concrete,low,natural_object,6,3.55,,75807, crater
love,abstract_high,abstract,very_high,emotion,4,5.82,,3021, love
fear,abstract_high,abstract,high,emotion,4,4.95,,8850, fear
hope,abstract_high,abstract,high,emotion,4,5.44,,3987, hope
joy,abstract_high,abstract,mid,emotion,3,4.55,,16267, joy
anger,abstract_high,abstract,mid,emotion,5,4.42,,19788, anger
hate,abstract_high,abstract,high,emotion,4,5.11,,12491, hate
pain,abstract_high,abstract,high,emotion,4,5.03,,6784, pain
pride,abstract_high,abstract,mid,emotion,5,4.49,,22519, pride
trust,abstract_high,abstract,high,emotion,5,5.13,,7095, trust
idea,abstract_high,abstract,high,cognition,4,5.36,,4623, idea
mind,abstract_high,abstract,high,cognition,4,5.41,,4059, mind
thought,abstract_high,abstract,very_high,cognition,7,5.59,,3463, thought
memory,abstract_high,abstract,high,cognition,6,4.81,,5044, memory
dream,abstract_high,abstract,high,cognition,5,4.91,,8063, dream
knowledge,abstract_high,abstract,high,cognition,9,4.96,,6677, knowledge
reason,abstract_high,abstract,high,cognition,6,5.32,,2944, reason
belief,abstract_high,abstract,mid,cognition,6,4.46,,16801, belief
question,abstract_high,abstract,high,cognition,8,5.35,,3488, question
family,abstract_high,abstract,very_high,social_concept,6,5.66,,3070, family
friend,abstract_high,abstract,high,social_concept,6,5.37,,4333, friend
home,abstract_high,abstract,very_high,social_concept,4,5.81,,2162, home
life,abstract_high,abstract,very_high,social_concept,4,5.89,,2324, life
death,abstract_high,abstract,high,social_concept,5,5.4,,4648, death
work,abstract_high,abstract,very_high,social_concept,4,5.96,,990, work
money,abstract_high,abstract,very_high,social_concept,5,5.64,,3300, money
time,abstract_high,abstract,very_high,social_concept,4,6.29,,892, time
history,abstract_high,abstract,high,social_concept,7,5.39,,3925, history
culture,abstract_high,abstract,high,social_concept,7,5.03,,7829, culture
language,abstract_high,abstract,high,social_concept,8,5.1,,4221, language
music,abstract_high,abstract,very_high,social_concept,5,5.52,,4731, music
art,abstract_high,abstract,high,social_concept,3,5.29,,1989, art
power,abstract_high,abstract,very_high,political_concept,5,5.52,,2410, power
freedom,abstract_high,abstract,high,political_concept,7,4.86,,11542, freedom
law,abstract_high,abstract,high,political_concept,3,5.46,,2383, law
right,abstract_high,abstract,very_high,political_concept,5,5.96,,1314, right
peace,abstract_high,abstract,high,political_concept,5,5.02,,9096, peace
war,abstract_high,abstract,high,political_concept,3,5.46,,4208, war
government,abstract_high,abstract,very_high,political_concept,10,5.57,,3109, government
truth,abstract_high,abstract,high,moral_concept,5,5.05,,8206, truth
good,abstract_high,abstract,very_high,moral_concept,4,6.12,,1695, good
evil,abstract_high,abstract,mid,moral_concept,4,4.74,,14289, evil
honor,abstract_high,abstract,mid,moral_concept,5,4.69,,16044, honor
justice,abstract_high,abstract,high,moral_concept,7,4.97,,12437, justice
change,abstract_high,abstract,very_high,cognition,6,5.54,,2349, change
future,abstract_high,abstract,high,cognition,6,5.33,,3938, future
reality,abstract_high,abstract,high,cognition,7,4.89,,8903, reality
nature,abstract_high,abstract,high,cognition,6,4.98,,7138, nature
system,abstract_high,abstract,very_high,cognition,6,5.56,,1887, system
problem,abstract_high,abstract,high,cognition,7,5.4,,3575, problem
answer,abstract_high,abstract,high,cognition,6,5.17,,4320, answer
story,abstract_high,abstract,high,cognition,5,5.45,,3446, story
name,abstract_high,abstract,very_high,cognition,4,5.61,,836, name
number,abstract_high,abstract,very_high,cognition,6,5.62,,1396, number
word,abstract_high,abstract,high,cognition,4,5.26,,3492, word
voice,abstract_high,abstract,high,cognition,5,5.07,,7899, voice
sound,abstract_high,abstract,high,cognition,5,5.15,,5222, sound
light,abstract_high,abstract,high,cognition,5,5.33,,3177, light
dark,abstract_high,abstract,high,cognition,4,5.04,,6453, dark
color,abstract_high,abstract,high,cognition,5,4.91,,1933, color
shape,abstract_high,abstract,mid,cognition,5,4.72,,6211, shape
size,abstract_high,abstract,high,cognition,4,5.13,,1404, size
space,abstract_high,abstract,high,cognition,5,5.23,,3634, space
place,abstract_high,abstract,very_high,social_concept,5,5.71,,2035, place
anxiety,abstract_low,abstract,mid,emotion,7,4.45,,18547, anxiety
envy,abstract_low,abstract,low,emotion,4,3.84,,66533, envy
grief,abstract_low,abstract,mid,emotion,5,4.08,,38384, grief
rage,abstract_low,abstract,mid,emotion,4,4.11,,34049, rage
sorrow,abstract_low,abstract,low,emotion,6,3.73,,58596, sorrow
pity,abstract_low,abstract,low,emotion,4,3.98,,58043, pity
regret,abstract_low,abstract,mid,emotion,6,4.37,,23023, regret
disgust,abstract_low,abstract,low,emotion,7,3.61,,68162, disgust
delight,abstract_low,abstract,low,emotion,7,3.97,,18454, delight
longing,abstract_low,abstract,low,emotion,7,3.5,,79422, longing
contempt,abstract_low,abstract,low,emotion,8,3.74,,46454, contempt
wisdom,abstract_low,abstract,mid,cognition,6,4.3,,24278, wisdom
intuition,abstract_low,abstract,low,cognition,9,3.54,,57351, intuition
paradox,abstract_low,abstract,low,cognition,7,3.63,,52313, paradox
logic,abstract_low,abstract,mid,cognition,5,4.36,,12496, logic
intent,abstract_low,abstract,mid,cognition,6,4.28,,7537, intent
doubt,abstract_low,abstract,high,cognition,5,4.9,,10712, doubt
clarity,abstract_low,abstract,low,cognition,7,3.9,,32373, clarity
loyalty,abstract_low,abstract,mid,social_concept,7,4.17,,32883, loyalty
solitude,abstract_low,abstract,low,social_concept,8,3.42,,99544, solitude
ritual,abstract_low,abstract,mid,social_concept,6,4.02,,28278, ritual
tradition,abstract_low,abstract,mid,social_concept,9,4.5,,14135, tradition
legend,abstract_low,abstract,mid,social_concept,6,4.44,,13314, legend
custom,abstract_low,abstract,mid,social_concept,6,4.43,,2587, custom
democracy,abstract_low,abstract,mid,political_concept,9,4.51,,20095, democracy
republic,abstract_low,abstract,mid,political_concept,8,4.6,,35544, republic
treaty,abstract_low,abstract,mid,political_concept,6,4.31,,38997, treaty
doctrine,abstract_low,abstract,low,political_concept,8,3.98,,33235, doctrine
regime,abstract_low,abstract,mid,political_concept,6,4.3,,17942, regime
policy,abstract_low,abstract,high,political_concept,6,5.17,,4947, policy
authority,abstract_low,abstract,high,political_concept,9,4.81,,11447, authority
liberty,abstract_low,abstract,mid,political_concept,7,4.34,,31220, liberty
tyranny,abstract_low,abstract,low,political_concept,7,3.52,,78001, tyranny
mercy,abstract_low,abstract,mid,moral_concept,5,4.25,,39324, mercy
virtue,abstract_low,abstract,low,moral_concept,6,3.94,,35460, virtue
vice,abstract_low,abstract,mid,moral_concept,4,4.71,,17192, vice
duty,abstract_low,abstract,mid,moral_concept,4,4.71,,14523, duty
shame,abstract_low,abstract,mid,moral_concept,5,4.55,,21648, shame
guilt,abstract_low,abstract,mid,moral_concept,5,4.13,,34951, guilt
dignity,abstract_low,abstract,mid,moral_concept,7,4.02,,38929, dignity
integrity,abstract_low,abstract,mid,moral_concept,9,4.22,,17025, integrity
ambition,abstract_low,abstract,low,cognition,8,3.91,,45715, ambition
destiny,abstract_low,abstract,mid,cognition,7,4.19,,47176, destiny
essence,abstract_low,abstract,mid,cognition,7,4.03,,28591, essence
origin,abstract_low,abstract,mid,cognition,6,4.55,,6371, origin
purpose,abstract_low,abstract,high,cognition,7,4.88,,7580, purpose
notion,abstract_low,abstract,mid,cognition,6,4.17,,23035, notion
legacy,abstract_low,abstract,mid,social_concept,6,4.37,,20160, legacy
burden,abstract_low,abstract,mid,cognition,6,4.23,,23104, burden
symbol,abstract_low,abstract,mid,cognition,6,4.31,,7891, symbol
metaphor,abstract_low,abstract,low,cognition,8,3.73,,46450, metaphor
perception,abstract_low,abstract,mid,cognition,10,4.18,,21063, perception
imagination,abstract_low,abstract,mid,cognition,11,4.22,,28899, imagination
conscience,abstract_low,abstract,low,cognition,10,3.96,,42563, conscience
