model,lang,frame_id,n_words,peak_N,peak_P,P_N30,drop_mean,drop_ci_lo,drop_ci_hi
Qwen2.5-1.5B,de,F0,28,5,0.19196129128353537,0.056675461480543685,0.8139396653861671,0.7183078007801668,0.8926274284069964
Qwen2.5-1.5B,de,F1,28,5,0.03607685728275101,0.012213034313650237,0.624192375469421,0.5346577185800347,0.7136061656286697
Qwen2.5-1.5B,de,F2,28,30,0.14198179092740507,0.14198179092740507,0.11193573460221054,0.03379769897674589,0.21384230043993435
Qwen2.5-1.5B,es,F0,34,5,0.19907531264128492,0.044784851462442446,0.853036074051063,0.7845935821347296,0.9090723019632444
Qwen2.5-1.5B,es,F1,34,5,0.0030633687610508572,0.002566011277073866,0.5790187699124756,0.4792481376563397,0.6688051021507189
Qwen2.5-1.5B,es,F2,34,5,0.0005868728348078174,0.00016054762211497827,0.6840805341875074,0.5997099930314482,0.7609954201374014
Qwen2.5-1.5B,fr,F0,29,3,0.10458844780103015,0.033651653154234296,0.776919736066346,0.6859043495414698,0.8605391586657445
Qwen2.5-1.5B,fr,F1,29,30,0.0018450844648543415,0.0018450844648543415,0.48125372263683697,0.3607829030224754,0.6081650824933349
Qwen2.5-1.5B,fr,F2,29,30,0.0008498765807714868,0.0008498765807714868,0.568339603225693,0.46425497266407595,0.6798869093529246
Qwen2.5-1.5B,zh,F0,49,3,0.006695883913436069,0.006049607213401254,0.4810410982230664,0.4113884566395263,0.5492101706863836
Qwen2.5-1.5B,zh,F1,49,3,0.00676647815093094,0.005715896359737487,0.36723586703904737,0.28700047924486516,0.45064440559758145
Qwen2.5-1.5B,zh,F2,49,10,0.0068944323979014035,0.006614407161559567,0.38429764421637713,0.29820557081347276,0.472273788343248
Qwen2.5-7B,de,F0,28,10,0.2285989649327738,0.15249778130756958,0.47871742870427936,0.366155051062863,0.5829443547331484
Qwen2.5-7B,de,F1,28,5,0.04033257097034948,0.01856053242850716,0.6100480470561945,0.5267261732757407,0.7055541248887063
Qwen2.5-7B,de,F2,28,30,0.08669788302254997,0.08669788302254997,0.11683757409463705,0.047433287512973536,0.2032901417801871
Qwen2.5-7B,es,F0,34,5,0.19197900144054608,0.06364195691832505,0.7324657913002588,0.6457426124489064,0.8081762800813296
Qwen2.5-7B,es,F1,34,5,0.010055361587921438,0.006453977932698549,0.4479347007208063,0.37397286133521135,0.527229978568225
Qwen2.5-7B,es,F2,34,20,0.00060257390270087,0.0006019843040121486,0.3050957988877484,0.22215200969030552,0.4003245276278237
Qwen2.5-7B,fr,F0,29,5,0.1522927575198741,0.08855756477388585,0.48589290707438193,0.39167585769417346,0.5868735015475274
Qwen2.5-7B,fr,F1,29,5,0.0068855505279347634,0.00480336060944206,0.3784813984459325,0.2908256153466022,0.4520759604206714
Qwen2.5-7B,fr,F2,29,30,0.001816017476185466,0.001816017476185466,0.2017585146112706,0.11228606335921339,0.30601037768781025
Qwen2.5-7B,zh,F0,49,5,0.02724373497173418,0.01921028724386908,0.43517354612120934,0.38577903209897424,0.4826058110319839
Qwen2.5-7B,zh,F1,49,3,0.011943569884407429,0.007271817502831774,0.5754624106473046,0.504492765654139,0.6390699756063062
Qwen2.5-7B,zh,F2,49,5,0.027384779974343066,0.02235628522894516,0.38741830383207704,0.32114213734894487,0.4553763683773476
xlm-roberta-base,de,F0,46,1,0.7837662346985029,0.39900358190061525,0.5154287678985016,0.41199808675017163,0.6175095177966922
xlm-roberta-base,de,F1,46,1,0.3019033868432693,0.1921125132889163,0.5610248697579224,0.4647411048749761,0.6620700556952155
xlm-roberta-base,de,F2,46,20,0.0064454344729987815,0.003438075784327774,0.5023220960887252,0.40999317080801234,0.5833252268791737
xlm-roberta-base,es,F0,49,1,0.4923829745349227,0.2933209484849334,0.5407782414232308,0.4312012034189124,0.6363843420248908
xlm-roberta-base,es,F1,49,1,0.21004110272042453,0.08258051082387338,0.736553824282826,0.6645971624152468,0.8030117838706542
xlm-roberta-base,es,F2,49,20,0.06237541822887653,0.050717346426052023,0.5387294511995686,0.44202146671987547,0.6300422685106567
xlm-roberta-base,fr,F0,40,1,0.4423205057857558,0.07800568404782098,0.8228000352228815,0.7310061389990856,0.9028813415674162
xlm-roberta-base,fr,F1,40,10,0.06306907357939054,0.031127257788648423,0.5730750236231449,0.4465622555797397,0.6858916029362047
xlm-roberta-base,fr,F2,40,1,0.08823190659259125,0.0554767265515693,0.543479670199473,0.43198964012919344,0.6514470255822185
xlm-roberta-large,de,F0,46,30,0.26514034424959076,0.26514034424959076,0.3538156378607162,0.2569317906530126,0.45468088961650704
xlm-roberta-large,de,F1,46,1,0.0370911157565981,0.03417234495993952,0.5607414297676963,0.45521402100240405,0.6709120504989893
xlm-roberta-large,de,F2,46,1,0.008752571662912685,0.000857728079101049,0.8694285115367724,0.7934637045344884,0.929367322638025
xlm-roberta-large,es,F0,49,30,0.20701888918268438,0.20701888918268438,0.30762285258326644,0.21853993214720005,0.3890410434721944
xlm-roberta-large,es,F1,49,30,0.04471608617818767,0.04471608617818767,0.3722683185108506,0.2726278915726134,0.47919753782445274
xlm-roberta-large,es,F2,49,30,0.002368915817812817,0.002368915817812817,0.749464182806916,0.6560821098992339,0.8303744176588725
xlm-roberta-large,fr,F0,40,30,0.20832692663570923,0.20832692663570923,0.44253108744086395,0.33549692162949424,0.554556553551299
xlm-roberta-large,fr,F1,40,30,0.011958827252783522,0.011958827252783522,0.11524655942739973,0.062128953675265323,0.1810716016033684
xlm-roberta-large,fr,F2,40,30,0.0036216347982929165,0.0036216347982929165,0.6387575010611727,0.5082387570540053,0.7564484051538992
